# records,# functions,duration average,duration standard deviation,duration minimum,duration maximum,errors,repetitions
1,100,807.6416666666667,487.7814719697435,610.89,2316.66,0,12
1,200,886.5558333333333,25.87214734677687,861.51,946.11,0,12
1,300,1119.6083333333333,58.255280343319846,1079.17,1295.97,0,12
1,400,1377.1441666666667,114.72646111974608,1299.88,1732.69,0,12
1,500,1618.2225,113.65109511330962,1535.7,1962.43,0,12
1,600,1822.6916666666666,41.53660287972377,1776.91,1915.85,0,12
1,700,2099.3283333333334,128.09137504377898,2014.14,2493.66,0,12
1,800,2356.95,102.6629897019635,2285.29,2668.42,0,12
1,900,2570.8908333333334,97.78558570653297,2497.16,2870.59,0,12
1,1000,2802.7116666666666,96.26225596900593,2738.56,3096.93,0,12
1,1000,3192.4783333333335,832.2018666802309,2763.24,5058.53,1,12
1,1250,3430.4775,184.80777193048212,3301.04,3931.73,0,12
1,1500,3987.695833333333,98.23170942015649,3878.34,4273.5,0,12
1,1750,4602.71,166.070417211276,4457.28,4965.51,0,12
2,100,863.9775,16.096113661378023,836.98,891.63,0,12
2,200,1330.2675,33.67052099524016,1293.54,1406.86,0,12
2,300,1865.3425,105.54725207438867,1760.92,2154.52,0,12
2,400,2319.8816666666667,130.38092497359307,2220.65,2720.28,0,12
2,500,2802.3766666666666,99.98811077808055,2721.62,3105.05,0,12
2,600,3287.3825,142.3910548853531,3188.48,3722.77,0,12
2,700,3767.9441666666667,141.49500283230898,3649.54,4098.15,0,12
2,800,4256.121666666667,141.59920793520988,4114.96,4669.67,0,12
3,100,1121.3966666666668,21.513472030053155,1081.51,1146.24,0,12
3,200,1837.4758333333334,118.3907892193042,1760.31,2206.76,0,12
3,300,2563.554166666667,133.63738858012442,2486.65,2976.51,0,12
3,400,3267.935,115.48494301698541,3182.77,3574.65,0,12
3,500,4014.1191666666664,159.34753713236844,3903.22,4409.56,0,12
4,100,1317.9816666666666,15.600010392381927,1296.7,1353.09,0,12
4,200,2311.0375,113.67278031301473,2226.43,2644.68,0,12
4,300,3275.0791666666664,109.47286060176444,3182.81,3593.26,0,12
4,400,4226.0216666666665,136.63603682998894,4086.65,4523.18,0,12
5,100,1586.695,35.78591101638643,1542.26,1643.97,0,12
5,200,2776.548333333333,111.63534311916332,2670.33,3111.93,0,12
5,300,4010.6375,153.59984647985948,3906.39,4393.6,0,12
6,100,1852.2875,88.900307405645,1783.94,2102.6,0,12
6,200,3271.0175,114.46010850351477,3200.02,3624.76,0,12
7,100,2078.515,116.38450408413092,1991.35,2435.1,0,12
7,200,3748.1625,123.38632944204892,3658.17,4130.05,0,12
8,100,2317.7425,104.54108414876904,2233.91,2618.38,0,12
8,200,4263.754166666667,153.39055876234443,4113.23,4608.57,0,12
9,100,2553.3708333333334,94.13775317039219,2457.3,2838.68,0,12
